station_id,stationCode_info,name,lat,lon,capacity,station_opening_hours_info,rental_methods/0,num_bikes_available,numBikesAvailable,mechanical_bikes,ebikes,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode_status,station_opening_hours_status,availability_rate,occupancy_rate,availability_status,ebike_percentage,is_operational
640629438,42302,Aristide Briand - Gare de Bagneux,48.79387269664978,2.321148812770844,22,,CREDITCARD,0,0,0,0,22,22,1,1,1,1776082129,42302,,0.0,0.0,Empty,,1
27363362,19029,Seine - Flandre,48.88678574147968,2.3746193200349808,19,,CREDITCARD,1,1,0,1,16,16,1,1,1,1776082165,19029,,5.26,15.79,Low,100.0,1
237624030,9032,Mathurins - Auber,48.872988840744,2.3294984212276,36,,CREDITCARD,32,32,20,12,3,3,1,1,1,1776082169,9032,,88.89,91.67,Available,37.5,1
6399,19016,Hautpoul - Jean Jaurès,48.886393679436,2.3865414544355,32,,CREDITCARD,3,3,1,2,29,29,1,1,1,1776081860,19016,,9.38,9.38,Low,66.67,1
213957917,32003,Wilson - Métallurgie,48.909423010092326,2.3584435880184174,28,,,11,11,6,5,16,16,1,1,1,1776082109,32003,,39.29,42.86,Available,45.45,1
54000626,21104,Madame de Sanzillon - Mozart,48.90379820774301,2.3187401890754704,22,,CREDITCARD,15,15,9,6,7,7,1,1,1,1776082075,21104,,68.18,68.18,Available,40.0,1
210746090,11042,Grand Prieuré - Crussol,48.864660627935,2.3692265531829,49,,,29,29,27,2,17,17,1,1,1,1776082151,11042,,59.18,65.31,Available,6.9,1
18880379814,32026,Leroy des Barres - Médiathèque,48.928253687082,2.3681719727966,26,,CREDITCARD,21,21,12,9,5,5,1,1,1,1776082166,32026,,80.77,80.77,Available,42.86,1
27414841,9005,Square d'Anvers,48.882633484311,2.3448844062122,33,,CREDITCARD,3,3,0,3,29,29,1,1,1,1776081925,9005,,9.09,12.12,Low,100.0,1
42566291,8025,Miromesnil - La Boétie,48.873722412917,2.3158480972052,35,,CREDITCARD,28,28,16,12,6,6,1,1,1,1776082100,8025,,80.0,82.86,Available,42.86,1
82253759,7102,Mairie du 7ème,48.8577967,2.3192664,48,,,42,42,25,17,5,5,1,1,1,1776082152,7102,,87.5,89.58,Available,40.48,1
54000577,13002,Arago - Glacière,48.83486054775774,2.3445770524322067,27,,CREDITCARD,3,3,2,1,23,23,1,1,1,1776082088,13002,,11.11,14.81,Low,33.33,1
19495480499,12204,Prague - Théophile Roussel,48.850330563516,2.3758223011125,34,,CREDITCARD,18,18,14,4,5,5,1,1,1,1776082028,12204,,52.94,85.29,Available,22.22,1
213702608,20121,Boyer - Ménilmontant,48.868895162679,2.3919824145635,19,,,1,1,0,1,18,18,1,1,1,1776081857,20121,,5.26,5.26,Low,100.0,1
54000609,19013,Laumière - Petit,48.88467368538326,2.380039058625698,34,,CREDITCARD,1,1,1,0,33,33,1,1,1,1776082152,19013,,2.94,2.94,Low,0.0,1
128986726,8050,Boétie - Ponthieu,48.871417284355,2.3076787590981,45,,CREDITCARD,33,33,17,16,11,11,1,1,1,1776082171,8050,,73.33,75.56,Available,48.48,1
362869414,43003,Hôpital Bégin,48.84571672113,2.4272462725639,26,,CREDITCARD,11,11,10,1,13,13,1,1,1,1776082172,43003,,42.31,50.0,Available,9.09,1
214139374,42504,Gare RER de Gentilly,48.814280450380224,2.341034710407257,30,,,0,0,0,0,30,30,1,1,1,1776081668,42504,,0.0,0.0,Empty,,1
17174681330,26013,Quai du docteur Dervaux,48.910482,2.297998,26,,CREDITCARD,11,11,11,0,14,14,1,1,1,1776081870,26013,,42.31,46.15,Available,0.0,1
213700358,20111,Villiers de l'Isle Adam - Pyrénées,48.867362,2.396222,20,,,2,2,0,2,18,18,1,1,1,1776081911,20111,,10.0,10.0,Low,100.0,1
66491405,20043,Charonne - Avron,48.851602665222,2.3984030470379,27,,CREDITCARD,6,6,1,5,18,18,1,1,1,1776082173,20043,,22.22,33.33,Available,83.33,1
559507144,42015,Place Jean Ferrat,48.8184945213025,2.3744174838066106,25,,,1,1,1,0,24,24,1,1,1,1776081644,42015,,4.0,4.0,Low,0.0,1
653063170,32016,Place de la Porte de Paris,48.93009363207303,2.356403768062592,40,,CREDITCARD,15,15,5,10,24,24,1,1,1,1776082127,32016,,37.5,40.0,Available,66.67,1
3906215030,15201,Place Amédée Gordini - Lefebvre,48.83061737745,2.2920634208276,38,,,6,6,0,6,28,28,1,1,1,1776081971,15201,,15.79,26.32,Available,100.0,1
129151834,31010,Stalingrad - Désiré Chevalier,48.85670169739857,2.445072233676911,42,,,3,3,0,3,38,38,1,1,1,1776081790,31010,,7.14,9.52,Low,100.0,1
55664548,11004,Charonne - Faubourg Saint-Antoine,48.852191909696,2.3740932717919,34,,CREDITCARD,25,25,19,6,8,8,1,1,1,1776082197,11004,,73.53,76.47,Available,24.0,1
4329844165,18201,Tristan Tzara -  Tchaïkovski,48.89490221746837,2.364849038422108,33,,,8,8,4,4,24,24,1,1,1,1776082044,18201,,24.24,27.27,Available,50.0,1
653200142,92008,Hôtel de Ville de Nanterre,48.89237189825042,2.205548956990242,38,,CREDITCARD,24,24,16,8,14,14,1,1,1,1776082194,92008,,63.16,63.16,Available,33.33,1
650091839,41402,Victor Hugo - Ecoles,48.80476007936134,2.4180373930262093,25,,CREDITCARD,17,17,16,1,8,8,1,1,1,1776082162,41402,,68.0,68.0,Available,5.88,1
18660653445,51004,Général Delambre - Prebuard,48.93870344444,2.2234171606307,29,,,27,27,11,16,2,2,1,1,1,1776082146,51004,,93.1,93.1,Available,59.26,1
42743053,18012,Stephenson - Doudeauville,48.888537048944826,2.356161028146744,36,,CREDITCARD,1,1,0,1,35,35,1,1,1,1776081953,18012,,2.78,2.78,Low,100.0,1
213699913,19125,Place de l'Édit de Nantes,48.88879,2.3785,30,,CREDITCARD,2,2,0,2,28,28,1,1,1,1776081976,19125,,6.67,6.67,Low,100.0,1
101740379,14036,Boulard - Daguerre,48.83446472680611,2.3293386027216907,45,,CREDITCARD,2,2,1,1,43,43,1,1,1,1776082061,14036,,4.44,4.44,Low,50.0,1
49859500,12009,Charenton - Diderot,48.846171461187,2.3793068155646,18,,CREDITCARD,4,4,3,1,13,13,1,1,1,1776082157,12009,,22.22,27.78,Low,25.0,1
19006016846,19205,Simon Bolivar - Henri Turot,48.877475489801,2.3739709492211,23,,,2,2,1,1,21,21,1,1,1,1776082058,19205,,8.7,8.7,Low,50.0,1
647826568,5123,Saint-Germain - Thenard,48.850571,2.3471015,31,,CREDITCARD,29,29,23,6,1,1,1,1,1,1776082058,5123,,93.55,96.77,Available,20.69,1
100767550,4015,Mairie du 4ème,48.855949910497,2.3563823103905,44,,CREDITCARD,29,29,23,6,13,13,1,1,1,1776082166,4015,,65.91,70.45,Available,20.69,1
20431381973,31203,Henri Barbusse,48.932092978246,2.3982878482409,30,,,23,23,7,16,7,7,1,1,1,1776082164,31203,,76.67,76.67,Available,69.57,1
213694069,19008,Flandre - Alphonse Karr,48.89465,2.381868,26,,CREDITCARD,3,3,3,0,21,21,1,1,1,1776081828,19008,,11.54,19.23,Low,0.0,1
468843711,9021,Saint Georges - d'Aumale,48.87778639599673,2.337429821491241,23,,CREDITCARD,8,8,1,7,15,15,1,1,1,1776081880,9021,,34.78,34.78,Available,87.5,1
378626842,23009,Anatole France - Louise Michel,48.88873214926474,2.288157641887665,50,,CREDITCARD,17,17,14,3,33,33,1,1,1,1776082095,23009,,34.0,34.0,Available,17.65,1
27414945,12027,Montgallet - Charenton,48.842647778701,2.3861649278137,16,,CREDITCARD,2,2,1,1,12,12,1,1,1,1776081994,12027,,12.5,25.0,Low,50.0,1
2515927759,42029,Stalingrad - Germaine Tailleferre,48.80257200481316,2.3786691203713417,28,,CREDITCARD,11,11,2,9,15,15,1,1,1,1776082076,42029,,39.29,46.43,Available,81.82,1
205955605,8035,Bienfaisance - Place de Narvik,48.87660163459077,2.3129771277308464,36,,,22,22,7,15,13,13,1,1,1,1776082075,8035,,61.11,63.89,Available,68.18,1
933214552,21313,Guynemer - Séverine,48.83091743371036,2.279070653021336,26,,CREDITCARD,22,22,21,1,4,4,1,1,1,1776082096,21313,,84.62,84.62,Available,4.55,1
39217683,17102,Alfred Roll - Berthier,48.887808570529,2.3000952981763,28,,,7,7,4,3,21,21,1,1,1,1776082176,17102,,25.0,25.0,Available,42.86,1
353462947,28001,Richard Wallace - Place du 8 Mai 1945,48.87866794788021,2.2420343756675725,30,,CREDITCARD,10,10,8,2,18,18,1,1,1,1776081975,28001,,33.33,40.0,Available,20.0,1
1559700274,26007,Square Gilbert Thomain,48.90717373809284,2.2695400938391685,20,,,5,5,1,4,14,14,1,1,1,1776082138,26007,,25.0,30.0,Low,80.0,1
66491393,15025,Dupleix - du Guesclin,48.85147910413369,2.296709530055523,47,,CREDITCARD,9,9,8,1,38,38,1,1,1,1776082077,15025,,19.15,19.15,Available,11.11,1
1062223873,35018,Ancien Canal - Hélène Brion,48.89484799296163,2.4188338592648506,23,,CREDITCARD,4,4,1,3,19,19,1,1,1,1776081958,35018,,17.39,17.39,Low,75.0,1
49085250,18110,Departement - Pajol,48.88667484973018,2.3613611608743668,19,,,2,2,0,2,17,17,1,1,1,1776082120,18110,,10.53,10.53,Low,100.0,1
66491404,19005,Flandre - Riquet,48.888013281448,2.3737595955229,21,,CREDITCARD,3,3,0,3,18,18,1,1,1,1776081630,19005,,14.29,14.29,Low,100.0,1
66491392,10113,Parmentier - Hôpital Saint-Louis,48.871379874257,2.3698963836667,43,,CREDITCARD,3,3,0,3,39,39,1,1,1,1776081990,10113,,6.98,9.3,Low,100.0,1
2515907297,41606,Pasteur - Gambetta,48.84572797384512,2.4236011505126958,19,,CREDITCARD,18,18,9,9,1,1,1,1,1,1776082164,41606,,94.74,94.74,Available,50.0,1
341388492,17045,Place des Ternes.,48.87843863122652,2.297727763652802,46,,CREDITCARD,6,6,5,1,40,40,1,1,1,1776082146,17045,,13.04,13.04,Available,16.67,1
985828965,43402,Place de Verdun,48.8202823,2.473775,40,,,29,29,26,3,11,11,1,1,1,1776082147,43402,,72.5,72.5,Available,10.34,1
